,CO2G,CO2L,MEA,MEACOO,MEAH,CO2 conversion,MEA conversion
0,40.0,0.0,1000.0,0.0,0.0,0.0,0.0
1,39.96626492269797,4.2850475248621975e-05,999.1004836395624,0.44975818021847114,0.44975818021847114,0.08433769325508322,0.08995163604375875
2,39.93255829635822,4.285288880408701e-05,998.2016402753295,0.8991798623348515,0.8991798623348515,0.1686042591044412,0.17983597246704902
3,39.89888009885089,4.285530466893049e-05,997.3035550132989,1.3482224933501943,1.3482224933501943,0.2527997528727788,0.26964449867010676
4,39.86523030483236,4.285772284573078e-05,996.4062271776412,1.7968864111791178,1.7968864111791178,0.33692423791910286,0.3593772822358801
5,39.83160889013677,4.2860143336955694e-05,995.5096561239332,2.2451719380331214,2.2451719380331214,0.42097777465807346,0.44903438760668446
6,39.798015830941246,4.286256614505797e-05,994.6138412168981,2.6930793915506426,2.6930793915506426,0.5049604226468851,0.5386158783101904
7,39.76445110336631,4.2864991272500954e-05,993.7187818197501,3.140609090124621,3.140609090124621,0.5888722415842196,0.628121818024988
8,39.73091468353948,4.2867418721750355e-05,992.8244772958894,3.5877613520549247,3.5877613520549247,0.6727132911512967,0.7175522704110563
9,39.697406547599414,4.2869848495275335e-05,991.9309270090139,4.034536495492728,4.034536495492728,0.7564836310014655,0.8069072990986115
10,39.66392667178713,4.2872280595556615e-05,991.0381303255504,4.480934837224481,4.480934837224481,0.8401833205321729,0.8961869674449644
11,39.630475032491276,4.287471502508421e-05,990.1460866158633,4.926956692068058,4.926956692068058,0.92381241877181,0.9853913384136718
12,39.59705160567867,4.2877151786315006e-05,989.2547952390672,5.372602380466048,5.372602380466048,1.0073709858033197,1.074520476093278
13,39.563656367511676,4.287959088172155e-05,988.3642555594922,5.817872220253535,5.817872220253535,1.0908590812208097,1.1635744440507778
14,39.53028929415267,4.2882032313776404e-05,987.4744669414681,6.262766529265605,6.262766529265605,1.1742767646183339,1.252553305853189
15,39.496950361764,4.288447608495212e-05,986.5854287493247,6.70728562533734,6.70728562533734,1.2576240955899998,1.3414571250675296
16,39.463639546508055,4.2886922197721245e-05,985.6971403473917,7.1514298263038265,7.1514298263038265,1.3409011337298615,1.4302859652608275
17,39.43035682536393,4.2889370654707416e-05,984.8096011217785,7.595199439110381,7.595199439110381,1.4241079365901754,1.5190398878221458
18,39.39710217472369,4.289182145842569e-05,983.9228104429404,8.038594778529442,8.038594778529442,1.5072445631907705,1.6077189557059568
19,39.36387557037813,4.289427461127987e-05,983.0367676652984,8.481616167350474,8.481616167350474,1.5903110740546824,1.6963232334701615
20,39.33067698857107,4.2896730115757583e-05,982.1514721553546,8.92426392232238,8.92426392232238,1.673307528572323,1.7848527844645448
21,39.29750640554635,4.2899187974346446e-05,981.2669232796112,9.366538360194061,9.366538360194061,1.7562339861341238,1.8733076720388795
22,39.26436379754781,4.2901648189534085e-05,980.3831204045705,9.808439797714422,9.808439797714422,1.8390905061304788,1.9616879595429508
23,39.23124914081927,4.290411076380812e-05,979.5000628967346,10.249968551632366,10.249968551632366,1.9218771479518182,2.0499937103265435
24,39.19816241356257,4.290657570000594e-05,978.617750174819,10.691124912590134,10.691124912590134,2.004593966093573,2.138224982518102
25,39.165103591160246,4.290904300046133e-05,977.7361815823583,11.131909208820478,11.131909208820478,2.0872410220993842,2.2263818417641685
26,39.132072649796434,4.291151266765122e-05,976.8553564842628,11.57232175786827,11.57232175786827,2.169818375508914,2.3144643515737244
27,39.099069565835684,4.291398470408481e-05,975.9752742502534,12.012362874872924,12.012362874872924,2.2523260854107896,2.4024725749746607
28,39.06609431564253,4.291645911227129e-05,975.0959342500515,12.452032874973856,12.452032874973856,2.334764210893674,2.490406574994847
29,39.03314687558153,4.291893589471984e-05,974.2173358533784,12.89133207331048,12.89133207331048,2.4171328110461765,2.5782664146621643
30,39.00022722392956,4.2921415054238406e-05,973.3394784809509,13.330260759524187,13.330260759524187,2.499431940176091,2.6660521519049096
31,38.967335335182085,4.2923896593044175e-05,972.4623614526479,13.768819273675685,13.768819273675685,2.5816616620447874,2.7537638547352117
32,38.93447118702595,4.2926380513852905e-05,971.5859841734521,14.207007913273635,14.207007913273635,2.663822032435128,2.841401582654794
33,38.90163475585991,4.292886681917914e-05,970.710346013997,14.64482699300116,14.64482699300116,2.7459131103502266,2.9289653986003032
34,38.86882601810282,4.2931355511540534e-05,969.8354463454519,15.082276827273665,15.082276827273665,2.8279349547429433,3.0164553654548056
35,38.8360449501936,4.2933846593457905e-05,968.9612845395217,15.519357730238823,15.519357730238823,2.909887624515992,3.103871546047833
36,38.80329152859126,4.29363400674552e-05,968.0878599684462,15.956070015776577,15.956070015776577,2.9917711785218515,3.191214003155381
37,38.77056573078404,4.293883593623113e-05,967.2151720319123,16.39241398404351,16.39241398404351,3.0735856730398936,3.278482796808771
38,38.73786753387102,4.2941334202417965e-05,966.343220119228,16.828389940385616,16.828389940385616,3.1553311653224543,3.365677988077198
39,38.70519691374379,4.2943834868442295e-05,965.4720035875034,17.263998206247916,17.263998206247916,3.2370077156405235,3.4527996412496575
40,38.67255384710618,4.294633793686859e-05,964.6015218155064,17.699239092246398,17.699239092246398,3.3186153822345505,3.539847818449357
41,38.63993831069302,4.294884341026632e-05,963.7317741828333,18.134112908582996,18.134112908582996,3.4001542232674526,3.6268225817166697
42,38.607350281270236,4.2951351291209964e-05,962.8627600699081,18.56861996504558,18.56861996504558,3.481624296824411,3.713723993009194
43,38.57478973563479,4.295386158227899e-05,961.9944788579834,19.00276057100797,19.00276057100797,3.5630256609130306,3.800552114201662
